pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-0.199493,0.361949,-2.00728,0.0173461,-0.26601,0.361949,All
-0.196955,0.364269,-2.00672,0.0174566,-0.264263,0.364269,All
-0.196387,0.366589,-2.00577,0.0175671,-0.26421,0.366589,All
-0.195105,0.36891,-2.00546,0.0176776,-0.263659,0.36891,All
-0.19207,0.37123,-2.00502,0.0177881,-0.256908,0.37123,All
-0.181905,0.37355,-2.00485,0.0178986,-0.255544,0.37355,All
-0.177971,0.37587,-2.00332,0.0180091,-0.252144,0.37587,All
-0.177715,0.37819,-1.99697,0.0181195,-0.225891,0.37819,All
-0.165625,0.38051,-1.99584,0.01823,-0.221968,0.38051,All
-0.162695,0.382831,-1.99253,0.0183405,-0.215369,0.382831,All
-0.162658,0.385151,-1.99044,0.018451,-0.20157,0.385151,All
-0.149528,0.387471,-1.98968,0.0185615,-0.201393,0.387471,All
-0.146515,0.389791,-1.98813,0.018672,-0.199617,0.389791,All
-0.144767,0.392111,-1.98747,0.0187825,-0.19667,0.392111,All
-0.139531,0.394432,-1.98491,0.0188929,-0.187741,0.394432,All
-0.139464,0.396752,-1.98483,0.0190034,-0.185619,0.396752,All
-0.131992,0.399072,-1.98131,0.0191139,-0.17931,0.399072,All
-0.127813,0.401392,-1.98015,0.0192244,-0.177139,0.401392,All
-0.127519,0.403712,-1.97367,0.0193349,-0.173934,0.403712,All
-0.123852,0.406032,-1.97344,0.0194454,-0.173613,0.406032,All
-0.121655,0.408353,-1.97216,0.0195559,-0.17074,0.408353,All
-0.119538,0.410673,-1.97168,0.0196663,-0.166479,0.410673,All
-0.117994,0.412993,-1.97033,0.0197768,-0.165944,0.412993,All
-0.116293,0.415313,-1.96747,0.0198873,-0.16101,0.415313,All
-0.10934,0.417633,-1.964,0.0199978,-0.158479,0.417633,All
-0.101706,0.419954,-1.95786,0.0201083,-0.158042,0.419954,All
-0.101181,0.422274,-1.95653,0.0202188,-0.155828,0.422274,All
-0.100421,0.424594,-1.95465,0.0203292,-0.154917,0.424594,All
-0.0978628,0.426914,-1.95132,0.0204397,-0.153775,0.426914,All
-0.0867921,0.429234,-1.95078,0.0205502,-0.15239,0.429234,All
-0.0854833,0.431555,-1.94929,0.0206607,-0.151178,0.431555,All
-0.0838717,0.433875,-1.94888,0.0207712,-0.148009,0.433875,All
-0.0813857,0.436195,-1.94183,0.0208817,-0.139969,0.436195,All
-0.0697766,0.438515,-1.93937,0.0209922,-0.138827,0.438515,All
-0.0684891,0.440835,-1.93211,0.0211026,-0.138675,0.440835,All
-0.0676336,0.443155,-1.93175,0.0212131,-0.137371,0.443155,All
-0.0672618,0.445476,-1.93096,0.0213236,-0.133,0.445476,All
-0.062149,0.447796,-1.93008,0.0214341,-0.128353,0.447796,All
-0.0516827,0.450116,-1.92894,0.0215446,-0.123115,0.450116,All
-0.0495431,0.452436,-1.92833,0.0216551,-0.118626,0.452436,All
-0.0483957,0.454756,-1.92536,0.0217656,-0.114972,0.454756,All
-0.0471879,0.457077,-1.92502,0.021876,-0.114258,0.457077,All
-0.0449572,0.459397,-1.92192,0.0219865,-0.110598,0.459397,All
-0.0439144,0.461717,-1.92112,0.022097,-0.107542,0.461717,All
-0.043258,0.464037,-1.91937,0.0222075,-0.103099,0.464037,All
-0.0407085,0.466357,-1.91797,0.022318,-0.102436,0.466357,All
-0.0373709,0.468677,-1.91781,0.0224285,-0.0992326,0.468677,All
-0.0318829,0.470998,-1.91252,0.0225389,-0.0979353,0.470998,All
-0.030059,0.473318,-1.91242,0.0226494,-0.0910803,0.473318,All
-0.0259501,0.475638,-1.91101,0.0227599,-0.0880499,0.475638,All
-0.0241181,0.477958,-1.91051,0.0228704,-0.0873382,0.477958,All
-0.0224789,0.480278,-1.90996,0.0229809,-0.0848365,0.480278,All
-0.0173914,0.482599,-1.90675,0.0230914,-0.0843629,0.482599,All
-0.0130936,0.484919,-1.90231,0.0232019,-0.0777253,0.484919,All
-0.0106587,0.487239,-1.90063,0.0233123,-0.0758722,0.487239,All
-0.00587634,0.489559,-1.89969,0.0234228,-0.0737201,0.489559,All
-0.00247342,0.491879,-1.89868,0.0235333,-0.0675581,0.491879,All
-0.00182722,0.4942,-1.89592,0.0236438,-0.0597312,0.4942,All
0.00164501,0.49652,-1.89539,0.0237543,-0.0570306,0.49652,All
0.00303333,0.49884,-1.89466,0.0238648,-0.055636,0.49884,All
0.00498401,0.50116,-1.89198,0.0239753,-0.0533472,0.50116,All
0.00530955,0.50348,-1.89111,0.0240857,-0.0509417,0.50348,All
0.00590526,0.5058,-1.89052,0.0241962,-0.0445563,0.5058,All
0.0138168,0.508121,-1.89031,0.0243067,-0.0396051,0.508121,All
0.0161725,0.510441,-1.88976,0.0244172,-0.0391842,0.510441,All
0.0165282,0.512761,-1.8895,0.0245277,-0.0310637,0.512761,All
0.0239069,0.515081,-1.8888,0.0246382,-0.0303082,0.515081,All
0.0247466,0.517401,-1.88877,0.0247486,-0.0244994,0.517401,All
0.0273969,0.519722,-1.88798,0.0248591,-0.0234984,0.519722,All
0.0335703,0.522042,-1.88578,0.0249696,-0.0224647,0.522042,All
0.0452904,0.524362,-1.88465,0.0250801,-0.0205568,0.524362,All
0.0496905,0.526682,-1.88106,0.0251906,-0.0189626,0.526682,All
0.0529859,0.529002,-1.88059,0.0253011,-0.0179136,0.529002,All
