time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
22.1818,0.295114,22.1818,0.0506701,22.1818,0.24522,4.4193,-0.0635779,3.07779,0.0549922,4.4193,-0.0784323,All
22.6364,0.293905,22.6364,0.0494323,22.6364,0.242836,4.54793,-0.0916643,3.25988,0.0741446,4.54793,-0.11026,All
23.0909,0.295722,23.0909,0.0524037,23.0909,0.243903,4.67655,-0.114704,3.44198,0.104869,4.67655,-0.136281,All
23.5455,0.309645,23.5455,0.0722118,23.5455,0.25877,4.80518,-0.133747,3.62407,0.139075,4.80518,-0.157431,All
24,0.323568,24,0.0920199,24,0.273637,4.9338,-0.149658,3.80617,0.161239,4.9338,-0.174471,All
24.4545,0.343003,24.4545,0.118957,24.4545,0.294687,5.06243,-0.156062,3.98826,0.15476,5.06243,-0.178581,All
24.9091,0.362437,24.9091,0.145894,24.9091,0.315738,5.19106,-0.161704,4.17035,0.122827,5.19106,-0.181052,All
25.3636,0.380747,25.3636,0.169306,25.3636,0.335507,5.31968,-0.167856,4.35245,0.0846336,5.31968,-0.184109,All
25.8182,0.398776,25.8182,0.191837,25.8182,0.354955,5.44831,-0.182335,4.53454,0.0627812,5.44831,-0.1972,All
26.2727,0.41181,26.2727,0.204802,26.2727,0.36877,5.57693,-0.189271,4.71664,0.0816783,5.57693,-0.204569,All
26.7273,0.421515,26.7273,0.21139,26.7273,0.378829,5.70556,-0.196207,4.89873,0.121256,5.70556,-0.211938,All
27.1818,0.426136,27.1818,0.208687,27.1818,0.383156,5.83419,-0.168003,5.08082,0.104485,5.83419,-0.183934,All
27.6364,0.423132,27.6364,0.192048,27.6364,0.378884,5.96281,-0.112946,5.26292,0.045215,5.96281,-0.127941,All
28.0909,0.418735,28.0909,0.172707,28.0909,0.373032,6.09144,-0.0561562,5.44501,0.0226868,6.09144,-0.0700631,All
28.5455,0.408764,28.5455,0.142561,28.5455,0.360861,6.22006,-0.0278603,5.6271,0.0653181,6.22006,-0.0404738,All
29,0.398794,29,0.112415,29,0.348689,6.34869,-0.0703008,5.8092,0.127057,6.34869,-0.0817874,All
29.4545,0.390134,29.4545,0.082732,29.4545,0.337893,6.47732,-0.134001,5.99129,0.15779,6.47732,-0.144475,All
29.9091,0.381473,29.9091,0.0530494,29.9091,0.327097,6.60594,-0.205693,6.17339,0.146751,6.60594,-0.215242,All
30.3636,0.396977,30.3636,0.0613644,30.3636,0.343236,6.73457,-0.284763,6.35548,0.118952,6.73457,-0.293631,All
30.8182,0.418522,30.8182,0.0791788,30.8182,0.366109,6.86319,-0.321533,6.53757,0.0997899,6.86319,-0.329878,All
31.2727,0.440066,31.2727,0.0969932,31.2727,0.388982,6.99182,-0.35013,6.71967,0.113253,6.99182,-0.357966,All
31.7273,0.461611,31.7273,0.114808,31.7273,0.411854,7.12045,-0.308076,6.90176,0.156593,7.12045,-0.315725,All
32.1818,0.483156,32.1818,0.132622,32.1818,0.434727,7.24907,-0.247871,7.08386,0.215304,7.24907,-0.256205,All
32.6364,0.5047,32.6364,0.150436,32.6364,0.4576,7.3777,-0.187667,7.26595,0.27428,7.3777,-0.196684,All
33.0909,0.537803,33.0909,0.187064,33.0909,0.493391,7.50632,-0.260748,7.44804,0.318283,7.50632,-0.273927,All
33.5455,0.617138,33.5455,0.298945,33.5455,0.58085,7.63495,-0.34172,7.63014,0.328799,7.63495,-0.359267,All
34,0.696473,34,0.410826,34,0.66831,7.76358,-0.447489,7.81223,0.305378,7.76358,-0.469865,All
