tin_abscissa,tin_cdf,beta_abscissa,beta_cdf,delta_abscissa,delta_cdf,p_abscissa,p_cdf,split
-4.69364,0.115873,1.44402e-08,0.116667,0.550736,0.116667,6155.02,0.115873,All
-4.69208,0.116667,1.446e-08,0.11746,0.552161,0.11746,6162.25,0.116667,All
-4.69208,0.11746,1.44955e-08,0.118254,0.553172,0.118254,6162.61,0.11746,All
-4.65566,0.118254,1.4519e-08,0.119048,0.553324,0.119048,6163.15,0.118254,All
-4.647,0.119048,1.45348e-08,0.119841,0.553502,0.119841,6165.31,0.119048,All
-4.6442,0.119841,1.45428e-08,0.120635,0.55417,0.120635,6180.65,0.119841,All
-4.64159,0.120635,1.4556e-08,0.121429,0.556359,0.121429,6182.77,0.120635,All
-4.62595,0.121429,1.45819e-08,0.122222,0.558379,0.122222,6191.15,0.121429,All
-4.61708,0.122222,1.45948e-08,0.123016,0.558547,0.123016,6192.17,0.122222,All
-4.60793,0.123016,1.46392e-08,0.12381,0.559045,0.12381,6193.01,0.123016,All
-4.60632,0.12381,1.464e-08,0.124603,0.561317,0.124603,6195.49,0.12381,All
-4.60624,0.124603,1.46621e-08,0.125397,0.562293,0.125397,6199.83,0.124603,All
-4.57684,0.125397,1.46711e-08,0.12619,0.562562,0.12619,6200.04,0.125397,All
-4.57333,0.12619,1.46746e-08,0.126984,0.563132,0.126984,6202.31,0.12619,All
-4.54376,0.126984,1.47114e-08,0.127778,0.563896,0.127778,6202.89,0.126984,All
-4.54116,0.127778,1.47698e-08,0.128571,0.564238,0.128571,6209.13,0.127778,All
-4.53998,0.128571,1.47812e-08,0.129365,0.564393,0.129365,6212.98,0.128571,All
-4.53954,0.129365,1.47988e-08,0.130159,0.565242,0.130159,6215.35,0.129365,All
-4.5286,0.130159,1.47988e-08,0.130952,0.565826,0.130952,6215.76,0.130159,All
-4.528,0.130952,1.48275e-08,0.131746,0.565922,0.131746,6217.57,0.130952,All
-4.51339,0.131746,1.48341e-08,0.13254,0.566332,0.13254,6221.86,0.131746,All
-4.50526,0.13254,1.48534e-08,0.133333,0.567341,0.133333,6222.03,0.13254,All
-4.50526,0.133333,1.48613e-08,0.134127,0.567803,0.134127,6222.15,0.133333,All
-4.50061,0.134127,1.48679e-08,0.134921,0.568998,0.134921,6224.45,0.134127,All
-4.49811,0.134921,1.48945e-08,0.135714,0.570665,0.135714,6228.13,0.134921,All
-4.49506,0.135714,1.48957e-08,0.136508,0.570773,0.136508,6228.24,0.135714,All
-4.48245,0.136508,1.49003e-08,0.137302,0.571155,0.137302,6229.65,0.136508,All
