ID,time,pop,popPred,indivPredMean,indivPredMode
2,10.0497,3.20785,5.00137,6.04692,5.88826
2,10.072,3.19857,4.99209,6.04065,5.88149
2,10.1458,3.16784,4.96136,6.01989,5.85908
2,10.2,3.14528,4.93879,6.00465,5.84263
2,10.2428,3.12745,4.92096,5.99261,5.82962
2,10.328,3.09198,4.8855,5.96865,5.80376
2,10.3408,3.08667,4.88018,5.96506,5.79988
2,10.4396,3.0455,4.83902,5.93724,5.76986
2,10.456,3.03869,4.83221,5.93264,5.76489
2,10.5395,3.00394,4.79745,5.90916,5.73954
2,10.584,2.9854,4.77891,5.89664,5.72602
2,10.6402,2.96198,4.75549,5.88082,5.70894
2,10.712,2.9321,4.72562,5.86063,5.68715
2,10.742,2.91962,4.71313,5.8522,5.67805
2,10.84,2.87881,4.67233,5.82463,5.64828
2,10.8447,2.87685,4.67037,5.82331,5.64686
2,10.9484,2.83368,4.62719,5.79414,5.61537
2,10.968,2.82552,4.61903,5.78863,5.60942
2,11.0531,2.79009,4.5836,5.76469,5.58358
2,11.096,2.77223,4.56574,5.75262,5.57055
2,11.1588,2.74609,4.5396,5.73496,5.55148
2,11.224,2.71893,4.51244,5.71662,5.53168
2,11.2655,2.70166,4.49517,5.70495,5.51908
2,11.352,2.66564,4.45915,5.68061,5.49281
2,11.3732,2.65681,4.45032,5.67465,5.48637
2,11.48,2.61235,4.40586,5.64461,5.45394
2,11.482,2.61153,4.40504,5.64406,5.45335
2,11.5918,2.56582,4.35933,5.61318,5.42001
2,11.608,2.55905,4.35256,5.60861,5.41508
2,11.7026,2.51967,4.31318,5.582,5.38635
2,11.736,2.50576,4.29927,5.5726,5.37621
2,11.8145,2.47308,4.26659,5.55052,5.35237
2,11.864,2.45247,4.24598,5.5366,5.33734
2,11.9275,2.42604,4.21955,5.51875,5.31807
2,11.992,2.39918,4.19268,5.50059,5.29847
2,12,2.39584,4.18935,5.49834,5.29604
2,12.0415,2.37856,4.17207,5.48667,5.28343
2,12.12,2.34588,4.13939,5.46459,5.2596
2,12.1567,2.33062,4.12413,5.45428,5.24847
2,12.248,2.29259,4.0861,5.42859,5.22073
2,12.2729,2.28222,4.07573,5.42158,5.21317
2,12.376,2.2393,4.0328,5.39258,5.18187
2,12.3903,2.23336,4.02687,5.38857,5.17754
2,12.504,2.186,3.97951,5.35658,5.143
2,12.5087,2.18403,3.97754,5.35525,5.14156
2,12.6283,2.13423,3.92774,5.3216,5.10524
2,12.632,2.13271,3.92622,5.32057,5.10413
2,12.7491,2.08396,3.87746,5.28764,5.06857
2,12.76,2.07942,3.87292,5.28457,5.06526
2,12.871,2.0332,3.8267,5.25335,5.03155
2,12.888,2.02612,3.81963,5.24857,5.02639
2,12.9941,1.98196,3.77546,5.21873,4.99418
2,13.016,1.97283,3.76634,5.21256,4.98753
2,13.1183,1.93023,3.72373,5.18378,4.95645
2,13.144,1.91954,3.71304,5.17656,4.94866
2,13.2438,1.878,3.6715,5.14849,4.91836
2,13.272,1.86624,3.65975,5.14055,4.90979
2,13.3704,1.82527,3.61878,5.11287,4.87991
2,13.4,1.81295,3.60646,5.10455,4.87092
2,13.4983,1.77204,3.56555,5.07691,4.84108
2,13.528,1.75966,3.55316,5.06855,4.83205
2,13.6273,1.7183,3.51181,5.04061,4.80189
2,13.656,1.70637,3.49987,5.03254,4.79318
2,13.7576,1.66405,3.45755,5.00395,4.76232
2,13.784,1.65307,3.44658,4.99654,4.75432
2,13.8892,1.60928,3.40278,4.96695,4.72238
2,13.912,1.59978,3.39328,4.96053,4.71545
2,14.022,1.55398,3.34748,4.92959,4.68205
2,14.04,1.54649,3.33999,4.92453,4.67658
2,14.1561,1.49816,3.29166,4.89188,4.64133
2,14.168,1.49319,3.2867,4.88853,4.63771
2,14.2914,1.4418,3.2353,4.85381,4.60023
2,14.296,1.4399,3.2334,4.85252,4.59884
2,14.424,1.38661,3.18011,4.81652,4.55998
2,14.4281,1.3849,3.1784,4.81537,4.55873
2,14.552,1.33331,3.12681,4.78051,4.52111
2,14.5661,1.32746,3.12096,4.77656,4.51684
2,14.68,1.28002,3.07352,4.74451,4.48224
2,14.7053,1.26947,3.06297,4.73738,4.47455
2,14.808,1.22673,3.02023,4.70851,4.44337
2,14.846,1.21093,3.00443,4.69783,4.43185
2,14.936,1.17343,2.96693,4.6725,4.4045
2,14.9879,1.15182,2.94532,4.6579,4.38874
2,15,1.14679,2.94029,4.6545,4.38507
2,15.064,1.12014,2.91364,4.6365,4.36564
2,15.1312,1.09215,2.88565,4.61759,4.34522
2,15.192,1.06685,2.86035,4.60049,4.32677
2,15.2759,1.03191,2.82541,4.57689,4.30129
2,15.32,1.01356,2.80705,4.56449,4.2879
2,15.422,0.971094,2.76459,4.5358,4.25693
2,15.448,0.960262,2.75376,4.52849,4.24903
2,15.5694,0.909696,2.7032,4.49432,4.21215
2,15.576,0.906969,2.70047,4.49248,4.21016
2,15.704,0.853676,2.64717,4.45648,4.1713
2,15.7183,0.847711,2.64121,4.45245,4.16695
2,15.832,0.800383,2.59388,4.42047,4.13243
2,15.8686,0.785133,2.57863,4.41017,4.12131
2,15.96,0.74709,2.54059,4.38447,4.09356
2,16.0204,0.721957,2.51545,4.36749,4.07523
2,16.088,0.693797,2.48729,4.34847,4.05469
2,16.1736,0.658177,2.45167,4.3244,4.02871
2,16.216,0.640504,2.434,4.31246,4.01582
2,16.3282,0.593787,2.38728,4.2809,3.98175
2,16.344,0.58721,2.38071,4.27646,3.97696
2,16.472,0.533917,2.32741,4.24045,3.93809
2,16.4843,0.528781,2.32228,4.23698,3.93434
2,16.6,0.480624,2.27412,4.20445,3.89922
2,16.642,0.463153,2.25665,4.19265,3.88648
2,16.728,0.427331,2.22083,4.16845,3.86035
2,16.8011,0.396898,2.19039,4.14789,3.83816
2,16.856,0.374038,2.16753,4.13244,3.82148
2,16.9617,0.33001,2.12351,4.1027,3.78937
2,16.984,0.320745,2.11424,4.09644,3.78262
2,17.112,0.267452,2.06095,4.06043,3.74375
2,17.1239,0.262482,2.05598,4.05708,3.74012
2,17.24,0.214159,2.00765,4.02443,3.70488
2,17.2877,0.194308,1.9878,4.01102,3.6904
2,17.368,0.160866,1.95436,3.98843,3.66601
2,17.453,0.125482,1.91898,3.96452,3.64021
2,17.496,0.107573,1.90107,3.95242,3.62714
2,17.6199,0.0559981,1.84949,3.91758,3.58953
2,17.624,0.0542796,1.84777,3.91642,3.58828
2,17.752,0.000986546,1.79448,3.88041,3.54941
2,17.7884,-0.0141501,1.77934,3.87019,3.53837
2,17.88,-0.0523065,1.74119,3.84441,3.51054
2,17.9584,-0.0849692,1.70852,3.82234,3.48672
2,18.008,-0.1056,1.68789,3.80841,3.47167
2,18.1302,-0.156465,1.63703,3.77404,3.43457
2,18.136,-0.158893,1.6346,3.7724,3.4328
2,18.264,-0.212186,1.58131,3.7364,3.39394
2,18.3035,-0.228645,1.56485,3.72528,3.38193
2,18.392,-0.265479,1.52801,3.70039,3.35507
2,18.4786,-0.301515,1.49198,3.67605,3.32879
2,18.52,-0.318772,1.47472,3.66439,3.3162
2,18.648,-0.372065,1.42143,3.62839,3.27733
2,18.6552,-0.375082,1.41841,3.62635,3.27513
2,18.776,-0.425358,1.36813,3.59238,3.23846
2,18.8336,-0.449352,1.34414,3.57617,3.22096
2,18.904,-0.478651,1.31484,3.55638,3.1996
2,19.0137,-0.524333,1.26916,3.52552,3.16628
2,19.032,-0.531944,1.26155,3.52037,3.16073
2,19.16,-0.585237,1.20825,3.48437,3.12186
2,19.1955,-0.60003,1.19346,3.47438,3.11107
2,19.288,-0.63853,1.15496,3.44837,3.08299
2,19.3791,-0.676452,1.11704,3.42275,3.05533
2,19.416,-0.691824,1.10167,3.41236,3.04412
2,19.544,-0.745117,1.04837,3.37636,3.00526
2,19.5644,-0.753604,1.03989,3.37062,2.99907
2,19.672,-0.79841,0.995079,3.34035,2.96639
2,19.7515,-0.831493,0.961995,3.318,2.94226
2,19.8,-0.851703,0.941786,3.30435,2.92752
2,19.928,-0.904996,0.888493,3.26835,2.88865
2,19.9403,-0.910128,0.88336,3.26488,2.88491
2,20,-0.934973,0.858515,3.24809,2.86679
2,20.056,-0.958289,0.835199,3.23234,2.84978
2,20.131,-0.989514,0.803974,3.21125,2.82701
2,20.184,-1.01158,0.781906,3.19634,2.81092
2,20.312,-1.06488,0.728612,3.16033,2.77205
2,20.3235,-1.06966,0.723828,3.1571,2.76856
2,20.44,-1.11817,0.675319,3.12433,2.73318
2,20.5178,-1.15057,0.642915,3.10244,2.70955
2,20.568,-1.17146,0.622026,3.08833,2.69431
2,20.696,-1.22475,0.568732,3.05232,2.65544
2,20.714,-1.23226,0.561229,3.04725,2.64997
2,20.824,-1.27805,0.515439,3.01632,2.61658
2,20.9121,-1.31472,0.478762,2.99154,2.58983
2,20.952,-1.33134,0.462145,2.98031,2.57771
2,21.08,-1.38463,0.408852,2.94431,2.53884
2,21.1121,-1.39798,0.395506,2.93529,2.52911
2,21.208,-1.43793,0.355559,2.90831,2.49997
2,21.3139,-1.48203,0.311454,2.87851,2.46781
2,21.336,-1.49122,0.302265,2.8723,2.4611
2,21.464,-1.54451,0.248972,2.8363,2.42224
2,21.5177,-1.56689,0.226599,2.82118,2.40592
2,21.592,-1.59781,0.195678,2.80029,2.38337
2,21.72,-1.6511,0.142385,2.76429,2.3445
2,21.7235,-1.65255,0.140932,2.76331,2.34344
2,21.848,-1.70439,0.0890917,2.72829,2.30563
2,21.9312,-1.73904,0.0544458,2.70488,2.28036
2,21.976,-1.75769,0.0357983,2.69228,2.26676
2,22,-1.76768,0.0258058,2.68553,2.25948
2,22.104,-1.81098,-0.0174951,2.65628,2.2279
2,22.1409,-1.82635,-0.0328673,2.64589,2.21668
2,22.232,-1.86427,-0.0707885,2.62027,2.18903
2,22.3526,-1.9145,-0.121015,2.58634,2.1524
2,22.36,-1.91756,-0.124082,2.58427,2.15016
2,22.488,-1.97086,-0.177375,2.54827,2.11129
2,22.5664,-2.00349,-0.210006,2.52622,2.08749
2,22.616,-2.02415,-0.230669,2.51226,2.07242
2,22.744,-2.07744,-0.283962,2.47626,2.03356
2,22.7822,-2.09333,-0.299848,2.46553,2.02197
2,22.872,-2.13074,-0.337255,2.44025,1.99469
2,23,-2.18403,-0.390549,2.40425,1.95582
3,9,3.6449,5.43841,2.39414,2.27886
3,9.07386,3.61415,5.40766,2.34376,2.22753
3,9.128,3.59161,5.38512,2.30682,2.18991
3,9.14833,3.58314,5.37665,2.29296,2.17578
3,9.2234,3.55188,5.34539,2.24174,2.1236
3,9.256,3.53831,5.33182,2.21951,2.10095
3,9.2991,3.52037,5.31388,2.19011,2.071
3,9.37541,3.48859,5.2821,2.13805,2.01796
