iteration,convergenceIndicator,phase,tin_pop,beta_tin_source_Neant,beta_tin_source_Wolfel,beta_pop,delta_pop,p_pop,omega_tin,omega_beta,omega_delta,omega_p,a
144,862.956,1,-4.91706,0.228602,0.082566,2.35035e-08,0.95816,6634.98,0.07433,0.407235,0.767523,0.188655,1.45527
145,853.776,1,-5.23903,0.243564,0.122197,2.4156e-08,0.96373,6661,0.0724479,0.396924,0.748089,0.183878,1.41843
146,870.386,1,-4.96468,0.227805,0.106078,2.42732e-08,0.992164,6555.5,0.0713187,0.386874,0.729147,0.186785,1.44022
147,878.022,1,-4.96809,0.243784,0.127868,2.37982e-08,1.00835,6635.12,0.0701881,0.377078,0.724338,0.182253,1.40375
148,866.808,1,-4.94535,0.254832,0.130106,2.35728e-08,1.05167,6897.44,0.0694949,0.36753,0.828748,0.177638,1.37695
149,883.625,1,-5.16632,0.27348,0.139681,2.28542e-08,1.02391,6856.68,0.0677353,0.358224,0.807763,0.17314,1.49017
150,882.644,2,-5.11543,0.265138,0.144191,2.2513e-08,1.03139,6936.49,0.0703408,0.373103,0.78731,0.172276,1.45244
151,839.288,2,-5.27785,0.272039,0.101974,2.32384e-08,1.01228,6739.84,0.0734008,0.363656,0.767375,0.167914,1.4382
152,884.112,2,-4.94142,0.255372,0.0786041,2.2342e-08,1.0125,6715.19,0.0668492,0.343371,0.715571,0.181576,1.50859
153,888.796,2,-5.17239,0.269124,0.1166,2.11553e-08,1.00725,6935.35,0.0697664,0.394246,0.70522,0.198326,1.39801
154,898.18,2,-4.78649,0.270016,0.0714013,2.11476e-08,0.986529,7132.85,0.0682886,0.405843,0.714268,0.209128,1.36974
155,917.105,2,-5.19838,0.289987,0.0765471,2.29595e-08,1.03223,7274.9,0.0649903,0.474467,0.72543,0.217345,1.40903
156,920.003,2,-5.03977,0.268898,0.0868108,2.25112e-08,1.03215,7350.69,0.0691863,0.452928,0.700997,0.207385,1.41555
157,936.451,2,-4.96171,0.259279,0.108902,2.32741e-08,1.02228,7124.59,0.0740005,0.533723,0.695696,0.199648,1.38983
158,951.672,2,-5.15223,0.262599,0.135777,2.54002e-08,1.00939,7132.37,0.0782419,0.576078,0.713282,0.210883,1.36134
159,965.324,2,-5.08601,0.276009,0.113249,2.47711e-08,1.01941,7071.87,0.0749217,0.618569,0.695522,0.191969,1.37864
160,941.568,2,-5.51779,0.291112,0.108724,2.39282e-08,0.966411,6840,0.0729744,0.586204,0.725452,0.198837,1.38538
161,908.989,2,-5.40435,0.281004,0.0873994,2.52589e-08,0.961196,6742.49,0.075235,0.511161,0.68703,0.203237,1.36021
162,917.847,2,-5.42914,0.274362,0.0575025,2.62226e-08,0.964156,6716.82,0.0803966,0.50863,0.651705,0.19601,1.35411
163,926.999,2,-5.50135,0.275689,0.0530814,2.4605e-08,0.938048,6695.39,0.0773636,0.509226,0.637205,0.199921,1.38154
164,928.092,2,-5.44905,0.263537,0.067225,2.53082e-08,0.958207,6643.91,0.0757619,0.499392,0.652237,0.212523,1.38219
165,913.755,2,-5.36671,0.253894,0.0655978,2.45218e-08,0.969138,6707.19,0.0777134,0.462061,0.667009,0.209896,1.35715
166,921.037,2,-5.14108,0.237981,0.0547933,2.56409e-08,0.960983,6717.18,0.0772809,0.454966,0.65311,0.216548,1.37396
167,945.314,2,-4.91186,0.221193,0.0445237,2.54475e-08,0.941688,6759.39,0.0764371,0.491973,0.649337,0.22447,1.37305
168,960.349,2,-5.15393,0.242731,0.0631749,2.45544e-08,0.936249,6839.46,0.0832494,0.494735,0.647891,0.215519,1.37383
169,912.527,2,-5.23933,0.246894,0.0599306,2.46829e-08,0.946447,6954.62,0.0885835,0.473184,0.647432,0.20519,1.3687
170,928.294,2,-5.40156,0.259156,0.0686542,2.30804e-08,0.950882,7070.1,0.0912095,0.466236,0.665586,0.196467,1.37638
171,903.092,2,-5.4908,0.262767,0.0865292,2.33182e-08,0.956984,7061.2,0.083176,0.446278,0.639136,0.189281,1.407
172,906.128,2,-5.44923,0.251185,0.0828892,2.24925e-08,0.944545,6995.29,0.0862928,0.456496,0.649131,0.179431,1.39411
173,897.129,2,-5.21449,0.244352,0.0658727,2.24526e-08,0.95918,7019.62,0.0858159,0.44927,0.663464,0.171063,1.4111
174,882.302,2,-5.12254,0.240766,0.0544965,2.2356e-08,0.956374,7055.01,0.0838743,0.446263,0.669311,0.165854,1.39653
175,869.433,2,-5.12116,0.24008,0.0507486,2.29953e-08,0.966617,7080.08,0.080561,0.439705,0.661174,0.159658,1.411
176,893.704,2,-5.01769,0.231699,0.0444983,2.26663e-08,0.968748,7103.96,0.0802744,0.428303,0.659676,0.156951,1.41062
177,913.255,2,-4.88224,0.220674,0.0439437,2.23643e-08,0.959601,7162.9,0.0797188,0.434983,0.665467,0.165797,1.42275
178,887.133,2,-4.74231,0.207634,0.0356473,2.27069e-08,0.956775,7227.16,0.0794176,0.433644,0.678012,0.161248,1.40689
179,912.309,2,-4.79826,0.201981,0.0441279,2.26564e-08,0.947767,7274.65,0.0818612,0.433555,0.674747,0.159425,1.41
180,910.031,2,-4.9173,0.20477,0.0543125,2.25513e-08,0.946941,7268.06,0.081303,0.421834,0.69755,0.160147,1.40573
181,876.553,2,-5.00531,0.211648,0.0629091,2.27401e-08,0.964552,7258.11,0.0805839,0.421216,0.716932,0.155956,1.40421
182,847.667,2,-5.00693,0.213095,0.0723397,2.25746e-08,0.972822,7282.11,0.0804904,0.402859,0.7141,0.156791,1.40538
183,906.106,2,-5.11571,0.219759,0.0762896,2.26699e-08,0.972631,7284.45,0.0825246,0.400245,0.722486,0.160321,1.39999
184,877.38,2,-5.12304,0.224178,0.0754014,2.24106e-08,0.970265,7299.48,0.0825393,0.39829,0.705969,0.158734,1.411
185,908.489,2,-5.16795,0.225591,0.0787018,2.2226e-08,0.968034,7282.68,0.0809358,0.406897,0.709559,0.157071,1.41592
186,874.158,2,-5.15539,0.226333,0.0784121,2.20205e-08,0.962644,7289.39,0.0778551,0.414785,0.706431,0.155152,1.40783
187,842.974,2,-5.10761,0.224195,0.0789026,2.2141e-08,0.968784,7324.98,0.0752944,0.410434,0.706632,0.151529,1.4036
188,863.404,2,-5.03861,0.219495,0.0750914,2.21534e-08,0.965991,7348.89,0.0743268,0.408778,0.702473,0.150815,1.40961
189,838.878,2,-5.10067,0.22471,0.0786127,2.23147e-08,0.968307,7324.81,0.0733567,0.400903,0.69655,0.148726,1.41743
190,841.489,2,-5.1313,0.227102,0.077429,2.24323e-08,0.967903,7311.69,0.0722912,0.394431,0.695138,0.147918,1.42076
191,861.791,2,-5.12559,0.22704,0.0708991,2.266e-08,0.966526,7285.02,0.0714817,0.391842,0.695342,0.149002,1.42135
192,854.072,2,-5.07475,0.223897,0.0668645,2.24993e-08,0.965265,7291.07,0.0710061,0.392571,0.684452,0.148563,1.42335
193,864.495,2,-5.02671,0.222108,0.0663242,2.23776e-08,0.961445,7263.48,0.0709424,0.389872,0.683698,0.147226,1.42276
194,859.469,2,-5.0071,0.218954,0.0645708,2.23551e-08,0.960647,7272.78,0.0712762,0.392557,0.680913,0.145499,1.42047
195,847.095,2,-5.03496,0.219829,0.0636981,2.24047e-08,0.95666,7257.08,0.0710808,0.39265,0.678728,0.145174,1.41653
196,858.615,2,-5.01669,0.218157,0.0617867,2.25612e-08,0.956875,7249.05,0.0707932,0.39316,0.681953,0.144471,1.42201
197,863.74,2,-4.99236,0.215868,0.0618314,2.25316e-08,0.957391,7247.66,0.0706977,0.391521,0.68202,0.14352,1.42595
