standEta_tin_abscissa,standEta_tin_cdf,standEta_beta_abscissa,standEta_beta_cdf,standEta_delta_abscissa,standEta_delta_cdf,standEta_p_abscissa,standEta_p_cdf,split
-1.23816,0.106349,-1.20245,0.106349,-1.27977,0.106349,-1.20054,0.106349,All
-1.23758,0.107143,-1.19107,0.107143,-1.27767,0.107143,-1.1996,0.107143,All
-1.22752,0.107937,-1.18599,0.107937,-1.27272,0.107937,-1.19878,0.107937,All
-1.22049,0.10873,-1.17747,0.10873,-1.26026,0.10873,-1.18986,0.10873,All
-1.20972,0.109524,-1.1759,0.109524,-1.25941,0.109524,-1.1898,0.109524,All
-1.2014,0.110317,-1.17123,0.110317,-1.25362,0.110317,-1.18375,0.110317,All
-1.19649,0.111111,-1.16367,0.111111,-1.22907,0.111111,-1.17919,0.111111,All
-1.18562,0.111905,-1.16105,0.111905,-1.22852,0.111905,-1.17221,0.111905,All
-1.18348,0.112698,-1.15351,0.112698,-1.21864,0.112698,-1.17195,0.112698,All
-1.18177,0.113492,-1.15052,0.113492,-1.21165,0.113492,-1.17147,0.113492,All
-1.17591,0.114286,-1.14833,0.114286,-1.21151,0.114286,-1.1707,0.114286,All
-1.1739,0.115079,-1.14384,0.115079,-1.20616,0.115079,-1.16938,0.115079,All
-1.16863,0.115873,-1.13767,0.115873,-1.20179,0.115873,-1.16837,0.115873,All
-1.16828,0.116667,-1.13654,0.116667,-1.20132,0.116667,-1.16018,0.116667,All
-1.16598,0.11746,-1.13293,0.11746,-1.19589,0.11746,-1.15978,0.11746,All
-1.15444,0.118254,-1.12647,0.118254,-1.19204,0.118254,-1.15916,0.118254,All
-1.15395,0.119048,-1.12221,0.119048,-1.19147,0.119048,-1.15672,0.119048,All
-1.15232,0.119841,-1.11935,0.119841,-1.19079,0.119841,-1.13938,0.119841,All
-1.14265,0.120635,-1.1179,0.120635,-1.18826,0.120635,-1.13698,0.120635,All
-1.13921,0.121429,-1.11551,0.121429,-1.17997,0.121429,-1.12752,0.121429,All
-1.13008,0.122222,-1.11084,0.122222,-1.17235,0.122222,-1.12638,0.122222,All
-1.12273,0.123016,-1.10851,0.123016,-1.17172,0.123016,-1.12543,0.123016,All
-1.11813,0.12381,-1.10052,0.12381,-1.16984,0.12381,-1.12263,0.12381,All
-1.11746,0.124603,-1.10038,0.124603,-1.16132,0.124603,-1.11774,0.124603,All
-1.1174,0.125397,-1.09641,0.125397,-1.15766,0.125397,-1.11751,0.125397,All
-1.11149,0.12619,-1.0948,0.12619,-1.15666,0.12619,-1.11495,0.12619,All
-1.10978,0.126984,-1.09417,0.126984,-1.15453,0.126984,-1.1143,0.126984,All
-1.10305,0.127778,-1.08758,0.127778,-1.15168,0.127778,-1.10728,0.127778,All
-1.09455,0.128571,-1.07716,0.128571,-1.1504,0.128571,-1.10295,0.128571,All
-1.09418,0.129365,-1.07513,0.129365,-1.14982,0.129365,-1.10028,0.129365,All
-1.09286,0.130159,-1.072,0.130159,-1.14666,0.130159,-1.09982,0.130159,All
-1.08742,0.130952,-1.072,0.130952,-1.14449,0.130952,-1.09779,0.130952,All
-1.08631,0.131746,-1.0669,0.131746,-1.14413,0.131746,-1.09298,0.131746,All
-1.08437,0.13254,-1.06572,0.13254,-1.14261,0.13254,-1.09279,0.13254,All
-1.07879,0.133333,-1.06231,0.133333,-1.13887,0.133333,-1.09265,0.133333,All
-1.07582,0.134127,-1.06091,0.134127,-1.13716,0.134127,-1.09008,0.134127,All
-1.06917,0.134921,-1.05974,0.134921,-1.13274,0.134921,-1.08594,0.134921,All
-1.06766,0.135714,-1.05504,0.135714,-1.12659,0.135714,-1.08582,0.135714,All
-1.06483,0.136508,-1.05481,0.136508,-1.12619,0.136508,-1.08424,0.136508,All
-1.0643,0.137302,-1.054,0.137302,-1.12478,0.137302,-1.08354,0.137302,All
-1.05592,0.138095,-1.05275,0.138095,-1.11993,0.138095,-1.07934,0.138095,All
-1.05366,0.138889,-1.04312,0.138889,-1.11411,0.138889,-1.07765,0.138889,All
-1.05112,0.139683,-1.04147,0.139683,-1.11103,0.139683,-1.07445,0.139683,All
-1.04836,0.140476,-1.03923,0.140476,-1.10819,0.140476,-1.07254,0.140476,All
-1.04682,0.14127,-1.03357,0.14127,-1.1067,0.14127,-1.07085,0.14127,All
-1.04101,0.142063,-1.03344,0.142063,-1.07951,0.142063,-1.06434,0.142063,All
-1.03078,0.142857,-1.03266,0.142857,-1.07438,0.142857,-1.06124,0.142857,All
-1.02845,0.143651,-1.02975,0.143651,-1.07258,0.143651,-1.05706,0.143651,All
-1.02416,0.144444,-1.02789,0.144444,-1.0693,0.144444,-1.04491,0.144444,All
-1.02019,0.145238,-1.02415,0.145238,-1.06532,0.145238,-1.03896,0.145238,All
-1.01513,0.146032,-1.02269,0.146032,-1.06328,0.146032,-1.03862,0.146032,All
-1.01459,0.146825,-1.01604,0.146825,-1.06076,0.146825,-1.03495,0.146825,All
-1.00442,0.147619,-1.0148,0.147619,-1.06056,0.147619,-1.03365,0.147619,All
-1.00264,0.148413,-1.0113,0.148413,-1.05413,0.148413,-1.0336,0.148413,All
-0.999284,0.149206,-1.00785,0.149206,-1.05291,0.149206,-1.03265,0.149206,All
-0.997702,0.15,-1.00704,0.15,-1.04828,0.15,-1.02896,0.15,All
-0.99539,0.150794,-1.00538,0.150794,-1.04562,0.150794,-1.0287,0.150794,All
-0.99505,0.151587,-1.00431,0.151587,-1.03671,0.151587,-1.01789,0.151587,All
-0.993381,0.152381,-1.00327,0.152381,-1.0367,0.152381,-1.01339,0.152381,All
-0.988743,0.153175,-1.00307,0.153175,-1.03487,0.153175,-1.01324,0.153175,All
-0.984391,0.153968,-0.998079,0.153968,-1.03315,0.153968,-1.01066,0.153968,All
-0.982291,0.154762,-0.996891,0.154762,-1.02967,0.154762,-1.0081,0.154762,All
-0.980437,0.155556,-0.995042,0.155556,-1.01772,0.155556,-1.00516,0.155556,All
-0.976592,0.156349,-0.993112,0.156349,-1.0168,0.156349,-1.004,0.156349,All
-0.966603,0.157143,-0.992569,0.157143,-1.01654,0.157143,-1.00292,0.157143,All
-0.966149,0.157937,-0.992465,0.157937,-1.00335,0.157937,-1.0022,0.157937,All
-0.964674,0.15873,-0.99219,0.15873,-1.0026,0.15873,-0.99363,0.15873,All
-0.961417,0.159524,-0.989999,0.159524,-1.00197,0.159524,-0.983624,0.159524,All
-0.957322,0.160317,-0.989287,0.160317,-1.00044,0.160317,-0.979953,0.160317,All
-0.955868,0.161111,-0.987378,0.161111,-0.995634,0.161111,-0.97548,0.161111,All
-0.954644,0.161905,-0.987142,0.161905,-0.995161,0.161905,-0.973495,0.161905,All
-0.9513,0.162698,-0.986719,0.162698,-0.994189,0.162698,-0.963293,0.162698,All
-0.948141,0.163492,-0.981852,0.163492,-0.991479,0.163492,-0.960814,0.163492,All
-0.944665,0.164286,-0.980449,0.164286,-0.988639,0.164286,-0.958278,0.164286,All
-0.926982,0.165079,-0.980054,0.165079,-0.984425,0.165079,-0.957061,0.165079,All
-0.917098,0.165873,-0.972927,0.165873,-0.978923,0.165873,-0.956593,0.165873,All
-0.911479,0.166667,-0.970642,0.166667,-0.976626,0.166667,-0.951643,0.166667,All
-0.910347,0.16746,-0.963188,0.16746,-0.972487,0.16746,-0.949702,0.16746,All
-0.905334,0.168254,-0.9603,0.168254,-0.965603,0.168254,-0.94872,0.168254,All
-0.903926,0.169048,-0.946924,0.169048,-0.957096,0.169048,-0.946401,0.169048,All
-0.896691,0.169841,-0.938938,0.169841,-0.952445,0.169841,-0.941764,0.169841,All
-0.896652,0.170635,-0.938285,0.170635,-0.952128,0.170635,-0.935451,0.170635,All
-0.888302,0.171429,-0.937148,0.171429,-0.949909,0.171429,-0.93445,0.171429,All
-0.884772,0.172222,-0.936665,0.172222,-0.939611,0.172222,-0.932774,0.172222,All
-0.884084,0.173016,-0.933875,0.173016,-0.939231,0.173016,-0.928115,0.173016,All
-0.883273,0.17381,-0.932666,0.17381,-0.936453,0.17381,-0.924692,0.17381,All
-0.880368,0.174603,-0.93056,0.174603,-0.935416,0.174603,-0.916668,0.174603,All
-0.878528,0.175397,-0.92224,0.175397,-0.935128,0.175397,-0.914031,0.175397,All
-0.87219,0.17619,-0.921702,0.17619,-0.925435,0.17619,-0.904894,0.17619,All
-0.872023,0.176984,-0.904087,0.176984,-0.923957,0.176984,-0.902897,0.176984,All
-0.869722,0.177778,-0.902944,0.177778,-0.919414,0.177778,-0.897728,0.177778,All
-0.869486,0.178571,-0.898012,0.178571,-0.918638,0.178571,-0.894344,0.178571,All
-0.867632,0.179365,-0.894071,0.179365,-0.914541,0.179365,-0.883568,0.179365,All
-0.858992,0.180159,-0.894006,0.180159,-0.911189,0.180159,-0.883026,0.180159,All
-0.850087,0.180952,-0.892945,0.180952,-0.907741,0.180952,-0.880127,0.180952,All
-0.847123,0.181746,-0.892577,0.181746,-0.907544,0.181746,-0.879737,0.181746,All
-0.846348,0.18254,-0.889159,0.18254,-0.907544,0.18254,-0.878196,0.18254,All
-0.834325,0.183333,-0.88183,0.183333,-0.90311,0.183333,-0.877869,0.183333,All
-0.831427,0.184127,-0.879031,0.184127,-0.90143,0.184127,-0.866218,0.184127,All
-0.830341,0.184921,-0.875827,0.184921,-0.900453,0.184921,-0.858022,0.184921,All
-0.830222,0.185714,-0.873381,0.185714,-0.895811,0.185714,-0.843616,0.185714,All
-0.825061,0.186508,-0.873202,0.186508,-0.893817,0.186508,-0.837728,0.186508,All
-0.824601,0.187302,-0.872709,0.187302,-0.892506,0.187302,-0.836728,0.187302,All
-0.823835,0.188095,-0.871016,0.188095,-0.885915,0.188095,-0.834782,0.188095,All
-0.823593,0.188889,-0.869404,0.188889,-0.885589,0.188889,-0.831307,0.188889,All
-0.823585,0.189683,-0.867479,0.189683,-0.881829,0.189683,-0.822664,0.189683,All
-0.818251,0.190476,-0.864039,0.190476,-0.880327,0.190476,-0.821741,0.190476,All
-0.815411,0.19127,-0.859774,0.19127,-0.878751,0.19127,-0.821589,0.19127,All
-0.815281,0.192063,-0.858349,0.192063,-0.873704,0.192063,-0.820054,0.192063,All
-0.814319,0.192857,-0.853482,0.192857,-0.865103,0.192857,-0.815901,0.192857,All
-0.809356,0.193651,-0.851558,0.193651,-0.859042,0.193651,-0.8155,0.193651,All
-0.80918,0.194444,-0.848774,0.194444,-0.852774,0.194444,-0.814765,0.194444,All
-0.803968,0.195238,-0.846119,0.195238,-0.852039,0.195238,-0.813892,0.195238,All
-0.802932,0.196032,-0.841024,0.196032,-0.851547,0.196032,-0.813439,0.196032,All
-0.802151,0.196825,-0.840119,0.196825,-0.851106,0.196825,-0.812405,0.196825,All
-0.800064,0.197619,-0.838713,0.197619,-0.850529,0.197619,-0.810107,0.197619,All
-0.799681,0.198413,-0.838397,0.198413,-0.846853,0.198413,-0.809551,0.198413,All
-0.793205,0.199206,-0.838397,0.199206,-0.834885,0.199206,-0.80768,0.199206,All
-0.787522,0.2,-0.838397,0.2,-0.830234,0.2,-0.807376,0.2,All
