rep,id,eta_tin,eta_iniT,eta_iniI,eta_beta,eta_rhoX,eta_k,eta_delta,eta_p,eta_c,eta_sigmaX,eta_phiX,eta_dX,source
4,8,-0.0346132400337989,0,0,-0.589519641216003,0,0,-1.46714710309053,0.0115296794441694,0,0,0,0,Neant
5,8,-0.00103061756726621,0,0,-0.170391314883587,0,0,-1.36554328061993,0.162976617587236,0,0,0,0,Neant
6,8,-0.0391229561623012,0,0,0.262063104652476,0,0,-1.296483328768,0.38769795227633,0,0,0,0,Neant
7,8,0.0553833466079129,0,0,-0.209932543416323,0,0,-0.924991919356861,-0.0400299889495573,0,0,0,0,Neant
8,8,0.0115129529358325,0,0,0.448735799608457,0,0,-1.16928084231805,0.139388358548205,0,0,0,0,Neant
9,8,0.024388112306244,0,0,0.792441881223149,0,0,-0.912599407690592,0.0196374621002578,0,0,0,0,Neant
10,8,-0.0355916488877542,0,0,-0.150419208236973,0,0,-1.82550914386196,-0.113324335548978,0,0,0,0,Neant
11,8,0.00500207308736975,0,0,0.576525012951054,0,0,-1.65266366052774,0.117934322534175,0,0,0,0,Neant
12,8,0.00698924153109406,0,0,-0.155817479068373,0,0,-1.41681830012836,0.0982577697786701,0,0,0,0,Neant
13,8,-0.00221418236387859,0,0,-0.194131216219448,0,0,-1.26656474200159,-0.172059269570523,0,0,0,0,Neant
14,8,-0.00793774566996773,0,0,-0.614310935018578,0,0,-1.45604615680281,0.0397377855261155,0,0,0,0,Neant
15,8,-0.0538936606869927,0,0,0.377931137149806,0,0,-1.02704005995885,-0.137986857042327,0,0,0,0,Neant
16,8,-0.130082047452371,0,0,0.426438843666561,0,0,-1.28787881308702,0.174922442672069,0,0,0,0,Neant
17,8,0.0370636894012425,0,0,0.108878458365506,0,0,-1.10294183008598,0.0894920030473459,0,0,0,0,Neant
18,8,-0.0635693746201978,0,0,-0.265474838606103,0,0,-1.18976362840291,0.0223351413406538,0,0,0,0,Neant
19,8,-0.0624163798335979,0,0,0.410579173113065,0,0,-1.42906165427813,-0.0782728355123914,0,0,0,0,Neant
20,8,-0.0126344302405605,0,0,0.413397912194933,0,0,-1.58798410040589,0.0113990109426308,0,0,0,0,Neant
